# Created by Saurabh Nerkar
# On Saturday, April 11, 2020 at 9:14:35 PM
# unit: meters
# design frequency: 6500000000 Hz
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1.000000	-0.05769231	-0.05769231	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2.000000	-0.03461538	-0.05769231	0.00000000	0.15311473	0.00000000	0.00000000	0.00000000	0.00000000
3.000000	-0.01153846	-0.05769231	0.00000000	0.16383204	0.00000000	0.00000000	0.00000000	0.00000000
4.000000	0.01153846	-0.05769231	0.00000000	0.17433372	0.00000000	0.00000000	0.00000000	0.00000000
5.000000	0.03461538	-0.05769231	0.00000000	0.18454487	0.00000000	0.00000000	0.00000000	0.00000000
6.000000	0.05769231	-0.05769231	0.00000000	0.19439152	0.00000000	0.00000000	0.00000000	0.00000000
7.000000	-0.05769231	-0.03461538	0.00000000	0.20380132	0.00000000	0.00000000	0.00000000	0.00000000
8.000000	-0.03461538	-0.03461538	0.00000000	0.21270429	0.00000000	0.00000000	0.00000000	0.00000000
9.000000	-0.01153846	-0.03461538	0.00000000	0.22103349	0.00000000	0.00000000	0.00000000	0.00000000
10.000000	0.01153846	-0.03461538	0.00000000	0.22872566	0.00000000	0.00000000	0.00000000	0.00000000
11.000000	0.03461538	-0.03461538	0.00000000	0.23572192	0.00000000	0.00000000	0.00000000	0.00000000
12.000000	0.05769231	-0.03461538	0.00000000	0.24196827	0.00000000	0.00000000	0.00000000	0.00000000
13.000000	-0.05769231	-0.01153846	0.00000000	0.24741623	0.00000000	0.00000000	0.00000000	0.00000000
14.000000	-0.03461538	-0.01153846	0.00000000	0.25202327	0.00000000	0.00000000	0.00000000	0.00000000
15.000000	-0.01153846	-0.01153846	0.00000000	0.25575325	0.00000000	0.00000000	0.00000000	0.00000000
16.000000	0.01153846	-0.01153846	0.00000000	0.25857683	0.00000000	0.00000000	0.00000000	0.00000000
17.000000	0.03461538	-0.01153846	0.00000000	0.26047171	0.00000000	0.00000000	0.00000000	0.00000000
18.000000	0.05769231	-0.01153846	0.00000000	0.26142292	0.00000000	0.00000000	0.00000000	0.00000000
19.000000	-0.05769231	0.01153846	0.00000000	0.26142292	0.00000000	0.00000000	0.00000000	0.00000000
20.000000	-0.03461538	0.01153846	0.00000000	0.26047171	0.00000000	0.00000000	0.00000000	0.00000000
21.000000	-0.01153846	0.01153846	0.00000000	0.25857683	0.00000000	0.00000000	0.00000000	0.00000000
22.000000	0.01153846	0.01153846	0.00000000	0.25575325	0.00000000	0.00000000	0.00000000	0.00000000
23.000000	0.03461538	0.01153846	0.00000000	0.25202327	0.00000000	0.00000000	0.00000000	0.00000000
24.000000	0.05769231	0.01153846	0.00000000	0.24741623	0.00000000	0.00000000	0.00000000	0.00000000
25.000000	-0.05769231	0.03461538	0.00000000	0.24196827	0.00000000	0.00000000	0.00000000	0.00000000
26.000000	-0.03461538	0.03461538	0.00000000	0.23572192	0.00000000	0.00000000	0.00000000	0.00000000
27.000000	-0.01153846	0.03461538	0.00000000	0.22872566	0.00000000	0.00000000	0.00000000	0.00000000
28.000000	0.01153846	0.03461538	0.00000000	0.22103349	0.00000000	0.00000000	0.00000000	0.00000000
29.000000	0.03461538	0.03461538	0.00000000	0.21270429	0.00000000	0.00000000	0.00000000	0.00000000
30.000000	0.05769231	0.03461538	0.00000000	0.20380132	0.00000000	0.00000000	0.00000000	0.00000000
31.000000	-0.05769231	0.05769231	0.00000000	0.19439152	0.00000000	0.00000000	0.00000000	0.00000000
32.000000	-0.03461538	0.05769231	0.00000000	0.18454487	0.00000000	0.00000000	0.00000000	0.00000000
33.000000	-0.01153846	0.05769231	0.00000000	0.17433372	0.00000000	0.00000000	0.00000000	0.00000000
34.000000	0.01153846	0.05769231	0.00000000	0.16383204	0.00000000	0.00000000	0.00000000	0.00000000
35.000000	0.03461538	0.05769231	0.00000000	0.15311473	0.00000000	0.00000000	0.00000000	0.00000000
36.000000	0.05769231	0.05769231	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000
